%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1771787231998669862,0.09678440673030607,0.0,0.0,0.0,0.0,1.4670100234759342e-05
1771787232015252113,0.09492602980219612,0.0,0.0,0.0,0.0,1.3202817244942211e-05
1771787232032016038,0.0931037088099364,0.0,0.0,0.0,0.0,8.070371426263656e-06
1771787232048550605,0.09131630268038134,0.0,0.0,0.0,0.0,1.0396320978205142e-05
1771787232065191268,0.08956266419619839,0.0,0.0,0.0,0.0,1.1967397843933025e-05
1771787232081998348,0.08784336235788305,0.0,0.0,0.0,0.0,2.196026255216199e-06
1771787232098687648,0.08615668709174787,0.0,0.0,0.0,0.0,4.004638748861256e-06
1771787232115095376,0.08450263532572744,0.0,0.0,0.0,0.0,6.766861662843571e-06
1771787232131802320,0.08288005984248563,0.0,0.0,0.0,0.0,1.8711825675796212e-06
1771787232148317813,0.08128896371409856,0.0,0.0,0.0,0.0,1.7391491240886792e-07
1771787232165219545,0.07972820279527597,0.0,0.0,0.0,0.0,3.376804342085371e-06
1771787232182023525,0.07819720194137232,0.0,0.0,0.0,0.0,1.2711978887650077e-06
1771787232198554515,0.07669596422442336,0.0,0.0,0.0,0.0,5.250700375970807e-06
1771787232215192794,0.07522334242712335,0.0,0.0,0.0,0.0,5.63455713867983e-06
1771787232231861829,0.07377876447682795,0.0,0.0,0.0,0.0,3.5749702771217806e-06
1771787232248590707,0.07236223037356071,0.0,0.0,0.0,0.0,-8.471004483492917e-07
1771787232265428304,0.07094569934236646,0.0,0.0,0.0,0.0,6.663369699032307e-06
1771787232281945943,0.06819447745841985,0.0,0.0,0.0,0.0,6.581988485077073e-06
1771787232298784971,0.06688497008952791,0.0,0.0,0.0,0.0,7.658660377135584e-07
1771787232315083980,0.06560064620454496,0.0,0.0,0.0,0.0,-1.8370088442701271e-06
1771787232331973075,0.06434150580343245,0.0,0.0,0.0,0.0,-1.3546180431533994e-06
1771787232348533153,0.06310583266833136,0.0,0.0,0.0,0.0,5.585293512772038e-06
1771787232365067958,0.06189419579975987,0.0,0.0,0.0,0.0,3.683060523750059e-06
1771787232381972074,0.060706026197246535,0.0,0.0,0.0,0.0,8.650338189648832e-06
1771787232399251699,0.0,0.0,0.0,0.0,0.0,0.0
1771787232410037279,0.0,0.0,0.0,0.0,0.0,2.0
1771787232426979541,0.0,0.0,0.0,0.0,0.0,2.0
1771787232443379640,0.0,0.0,0.0,0.0,0.0,2.0
1771787232460038661,0.0,0.0,0.0,0.0,0.0,2.0
1771787232476685285,0.0,0.0,0.0,0.0,0.0,2.0
1771787232493403911,0.0,0.0,0.0,0.0,0.0,2.0
1771787232510241508,0.0,0.0,0.0,0.0,0.0,2.0
1771787232526636600,0.0,0.0,0.0,0.0,0.0,2.0
1771787232543334245,0.0,0.0,0.0,0.0,0.0,2.0
1771787232560032367,0.0,0.0,0.0,0.0,0.0,2.0
1771787232576743125,0.0,0.0,0.0,0.0,0.0,2.0
1771787232593290805,0.0,0.0,0.0,0.0,0.0,2.0
1771787232610203981,0.0,0.0,0.0,0.0,0.0,2.0
1771787232626806497,0.0,0.0,0.0,0.0,0.0,2.0
1771787232643425226,0.0,0.0,0.0,0.0,0.0,2.0
1771787232660004854,0.0,0.0,0.0,0.0,0.0,2.0
1771787232676653146,0.0,0.0,0.0,0.0,0.0,2.0
1771787232693279743,0.0,0.0,0.0,0.0,0.0,2.0
1771787232710008382,0.0,0.0,0.0,0.0,0.0,2.0
1771787232726728439,0.0,0.0,0.0,0.0,0.0,2.0
1771787232743272542,0.0,0.0,0.0,0.0,0.0,2.0
1771787232760193586,0.0,0.0,0.0,0.0,0.0,2.0
1771787232776804924,0.0,0.0,0.0,0.0,0.0,2.0
1771787232793560981,0.0,0.0,0.0,0.0,0.0,2.0
1771787232809784889,0.0,0.0,0.0,0.0,0.0,2.0
1771787232826600551,0.0,0.0,0.0,0.0,0.0,2.0
1771787232843389749,0.0,0.0,0.0,0.0,0.0,2.0
1771787232860290050,0.0,0.0,0.0,0.0,0.0,2.0
1771787232876556396,0.0,0.0,0.0,0.0,0.0,2.0
1771787232893489837,0.0,0.0,0.0,0.0,0.0,2.0
1771787232909990072,0.0,0.0,0.0,0.0,0.0,2.0
1771787232926743507,0.0,0.0,0.0,0.0,0.0,2.0
1771787232943264961,0.0,0.0,0.0,0.0,0.0,2.0
1771787232960129976,0.0,0.0,0.0,0.0,0.0,2.0
1771787232976656436,0.0,0.0,0.0,0.0,0.0,2.0
1771787232993467807,0.0,0.0,0.0,0.0,0.0,2.0
1771787233010280847,0.0,0.0,0.0,0.0,0.0,2.0
1771787233026756286,0.0,0.0,0.0,0.0,0.0,1.9172696522922599
1771787233043393611,0.0,0.0,0.0,0.0,0.0,1.73321146290017
1771787233059976339,0.0,0.0,0.0,0.0,0.0,1.5668229512424552
1771787233076678037,1.2,0.0,0.0,0.0,0.0,1.416408245965966
1771787233093532562,1.2,0.0,0.0,0.0,0.0,1.2872432256577153
1771787233110188722,1.2,0.0,0.0,0.0,0.0,1.169897699870229
1771787233126675128,1.2,0.0,0.0,0.0,0.0,1.0632860069857748
1771787233143506288,1.2,0.0,0.0,0.0,0.0,0.9664221617125706
1771787233160019874,1.2,0.0,0.0,0.0,0.0,0.8784120565721105
1771787233176750421,1.2,0.0,0.0,0.0,0.0,0.7984432914417288
1771787233193985223,1.2,0.0,0.0,0.0,0.0,0.7257781332168132
1771787233209897041,1.2,0.0,0.0,0.0,0.0,0.5863165070635055
1771787233226916313,1.2,0.0,0.0,0.0,0.0,0.5330091801819625
1771787233243300914,1.2,0.0,0.0,0.0,0.0,0.4845645278484545
1771787233259901523,1.2,0.0,0.0,0.0,0.0,0.44053677926329904
1771787233276640176,1.2,0.0,0.0,0.0,0.0,0.4005238719901345
1771787233293437004,1.2,0.0,0.0,0.0,0.0,0.36415594484119485
1771787233309905767,1.2,0.0,0.0,0.0,0.0,0.3311028771548332
1771787233326642751,1.2,0.0,0.0,0.0,0.0,0.3010590886382145
1771787233343441486,1.2,0.0,0.0,0.0,0.0,0.27375180243244746
1771787233359990119,1.2,0.0,0.0,0.0,0.0,0.24892941452415496
1771787233376623153,1.2,0.0,0.0,0.0,0.0,0.22636601902711817
1771787233393542766,1.2,0.0,0.0,0.0,0.0,0.20585473827710965
1771787233410147428,1.2,0.0,0.0,0.0,0.0,0.18720900731801215
1771787233426867485,1.2,0.0,0.0,0.0,0.0,0.17025748823415565
1771787233443295955,1.2,0.0,0.0,0.0,0.0,0.1548476598434041
1771787233459890604,1.2,0.0,0.0,0.0,0.0,0.1408366452281804
1771787233476768016,1.2,0.0,0.0,0.0,0.0,0.1280998178881303
1771787233493351697,1.2,0.0,0.0,0.0,0.0,0.11651783943251637
1771787233510163545,1.2,0.0,0.0,0.0,0.0,0.10598744738283994
1771787233526597976,1.2,0.0,0.0,0.0,0.0,0.09641225227502526
1771787233543148279,1.2,0.0,0.0,0.0,0.0,0.08770643607322137
1771787233559951305,1.2,0.0,0.0,0.0,0.0,0.07978914780988866
1771787233576714515,1.2,0.0,0.0,0.0,0.0,0.07259009440912312
1771787233593723297,1.2,0.0,0.0,0.0,0.0,0.06534719133586053
1771787233609937667,1.2,0.0,0.0,0.0,0.0,0.052823873679432864
1771787233626912117,1.2,0.0,0.0,0.0,0.0,0.04806507721327824
1771787233643239021,1.2,0.0,0.0,0.0,0.0,0.04373699661765862
1771787233660011053,1.2,0.0,0.0,0.0,0.0,0.039801578595294096
1771787233676680803,1.2,0.0,0.0,0.0,0.0,0.036220455670185725
1771787233693262577,1.2,0.0,0.0,0.0,0.0,0.03296283207059414
1771787233709975481,1.2,0.0,0.0,0.0,0.0,0.03000028270417543
1771787233726630926,1.2,0.0,0.0,0.0,0.0,0.027305855976156312
